variant benchmark kernel_index ipc_base ipc_tuned ipc_gain_pct read_base read_tuned read_change_pct write_base write_tuned write_change_pct ipc_gain_class read_change_class write_change_class
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-128-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-256-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-288-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-320-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-352-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 12 8.6567 8.6567 0.000 4883 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 13 6.9936 6.983 -0.152 4891 0 -100.000 111 0 -100.000 worse better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 14 8.1941 8.1941 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 15 6.5952 6.5952 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-384-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 16 8.5236 8.5236 0.000 4891 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 1 3.691 3.691 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 2 7.9852 7.9852 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 3 3.9985 3.9985 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 4 8.286 8.286 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 5 4.8361 4.8361 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 6 8.8546 8.8546 0.000 0 0 0.000 0 0 0.000 neutral neutral neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 7 9.0819 9.0802 -0.019 71 0 -100.000 0 0 0.000 worse better neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 8 11.5803 11.5803 0.000 71 0 -100.000 0 0 0.000 neutral better neutral
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 9 21.4818 21.6866 0.953 2399 0 -100.000 111 0 -100.000 better better better
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 10 12.8834 12.8834 0.000 2399 0 -100.000 111 0 -100.000 neutral better better
miss-q-ent-512-and-mshr-max-merge-32 bfs-rodinia-2.0-ft 11 24.0576 24.0193 -0.159 4883 0 -100.000 111 0 -100.000 worse better better
